"","sequencing_sample_id","sample_site_code","rna_plate_number","rna_plate_length","rna_plate_width","rna_sample_plate_position","rna_sample_plate_position_row","rna_sample_plate_position_column","sample_id","timestamp_sample_collected","sample_site_name","sample_city_name","rna_sample_plate_position_ind","sars_cov2_gc_l_mean","raw_ansis_sars_ct_repc_1","raw_ansis_sars_ct_repc_2","raw_ansis_sars_ct_repc_3","analysis_lab_code","analysis_lab_comments","sequencing_lab_code","sequencing_platform","sequencing_run_id","sequencing_run_date","sequencing_library_method","sequencing_library_protocol_version","sequencing_primer_set_version","sequencing_rna_plate_name","sequencing_rna_sample_plate_position","sequencing_lab_comments","data_model_version","grid_reference_east","grid_reference_north","grab_compo_ind","longitude","latitude","delta.mu","delta.se","delta.n","omicron.mu","omicron.se","omicron.n"
"245","3_seqloc_E8_2134711_E8_2109796_24","UKENSW_SWS_TP000058",2134711,12,8,"E8","E",8,"2109796-24","12122021:1010","PLYMOUTH CENTRAL STW",NA,"SAMPLE",60486.4,32.311,32.886,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,249776,54024,"Grab",-4.11363466761656,50.3668923102358,0.964457564575646,0.0131355007636919,10,0.196285243482254,0.0409999446236101,9
"246","3_seqloc_E9_2134711_E9_2109811_29","UKENSW_SWS_TP000067",2134711,12,8,"E9","E",9,"2109811-29","12122021:0915","ST AUSTELL MENAGWINS STW",NA,"SAMPLE",10463.83652,34.70776364,36.18262318,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,201192,50857,"Grab",-4.79433884908445,50.3240317315458,0.996971600702331,0.0167306346432867,12,0.000148463793204953,0.000248963912392031,10
"247","3_seqloc_F1_2134711_F1_2110491_29","UKENSW_SWS_TP000073",2134711,12,8,"F1","F",1,"2110491-29","12122021:0915","TAVISTOCK STW",NA,"SAMPLE",12262.4,35.478,34.684,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,NA,NA,NA,NA,NA,0.999937779022197,7.20211295004092e-05,12,0.000243955558469858,0.00012831793641505,10
"248","3_seqloc_F10_2134711_F10_2110599_03","UKENAN_AW_TP000050",2134711,12,8,"F10","F",10,"2110599-03","12122021:1020","CAMBRIDGE STW",NA,"SAMPLE",40974.4,33.855,32.7,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,547187,261751,"Grab",0.153916456838984,52.2342838945063,0.76658387221104,0.064214743710377,12,0.241692753400968,0.0742683872804718,10
"249","3_seqloc_F11_2134711_F11_2109800_29","UKENSW_SWS_TP000055",2134711,12,8,"F11","F",11,"2109800-29","12122021:0850","PAR STW",NA,"SAMPLE",7971.2,35.76,35.631,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,206629,52671,"Grab",-4.71897946546976,50.3421369994768,1,0,12,0.000176121468055071,0.0001085776330076,10
"250","3_seqloc_F2_2134711_F2_2109795_33","UKENSW_SWS_TP000031",2134711,12,8,"F2","F",2,"2109795-33","12122021:0915","ST IVES AND PENZANCE STW",NA,"SAMPLE",36219.2,32.938,33.949,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,154781,35753,"Grab",-5.43544697394588,50.1709573488687,0.999943438914027,0.000506965926554067,12,0.000244831678844201,0.000319567690091408,10
"251","3_seqloc_F3_2134711_F3_2109812_29","UKENSW_SWS_TP000033",2134711,12,8,"F3","F",3,"2109812-29","12122021:1225","HELSTON STW",NA,"SAMPLE",8049.6,35.414,36,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,165503,26944,"Grab",-5.28014327892782,50.0962043927731,0.999974743807497,3.49140371753791e-05,11,0.000270881135825686,0.000186301539268406,10
"252","3_seqloc_F4_2134711_F4_2109802_29","UKENSW_SWS_TP000025",2134711,12,8,"F4","F",4,"2109802-29","12122021:1125","FALMOUTH STW",NA,"SAMPLE",9376,35.614,35.291,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,182302,32206,"Composite",-5.04862375472922,50.1498572299923,0.846929769259866,0.0423038801530422,12,0,0,10
"253","3_seqloc_F5_2134711_F5_2109801_29","UKENSW_SWS_TP000050",2134711,12,8,"F5","F",5,"2109801-29","12122021:1015","NEWQUAY STW",NA,"SAMPLE",32606.4,33.881,33.234,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,181743,59070,"Composite",-5.07193448614966,50.3909037229273,1,NA,1,NA,NA,0
"254","3_seqloc_F6_2134711_F6_2109813_29","UKENSW_SWS_TP000005",2134711,12,8,"F6","F",6,"2109813-29","12122021:0805","BODMIN (SCARLETTS WELL) STW",NA,"SAMPLE",15284.8,34.787,34.601,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,205541,67396,"Grab",-4.74188039155913,50.4740514717425,0.999966542129036,2.68301196199088e-05,12,0.00027676262617084,0.000138744363510232,10
"255","3_seqloc_F7_2134711_F7_2106731_45","UKENNW_UU_TP000133",2134711,12,8,"F7","F",7,"2106731-45","12122021:0800","WIGAN (HOSCAR) STW",NA,"SAMPLE",13736.8,35.518,34.394,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,348172,411615,"Composite",-2.78461015741754,53.5985273300932,0.967657579534985,0.0219096766336934,12,0.000393844294759074,0.000133441236225633,10
"256","3_seqloc_F8_2134711_F8_2109807_29","UKENSW_SWS_TP000045",2134711,12,8,"F8","F",8,"2109807-29","12122021:1015","LISKEARD   STW",NA,"SAMPLE",10526.64932,34.67632372,36.2328261,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,224102,63078,"Composite",-4.47854374648874,50.4411223424395,0.999981424723693,2.69499009806567e-05,12,5.9370160041301e-05,3.7037037037037e-05,10
"257","3_seqloc_F9_2134711_F9_2110559_03","UKENAN_AW_TP000224",2134711,12,8,"F9","F",9,"2110559-03","12122021:0915","SAFFRON WALDEN STW",NA,"SAMPLE",7756,35.956,35.544,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,553342,238614,"Grab",0.233552847029324,52.0247514822137,0.806344589374176,0.0769078044906505,12,0,0,10
"258","3_seqloc_G1_2134711_G1_2110560_03","UKENAN_AW_TP000237",2134711,12,8,"G1","G",1,"2110560-03","12122021:0740","SOHAM STW",NA,"SAMPLE",13185.6,34.797,35.051,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,558102,274464,"Grab",0.319573303109778,52.3454603539317,0.825076004954397,0.0541343992117446,11,0.228196642328572,0.0746620983617668,10
"259","3_seqloc_G10_2134711_G10_2109705_08","UKENNW_UU_TP000070",2134711,12,8,"G10","G",10,"2109705-08","12122021:0800","KENDAL STW",NA,"SAMPLE",1233.6,38.472,38.672,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,351699,490791,"Composite",-2.74388404263729,54.3104175956949,1,NA,1,NA,NA,0
"260","3_seqloc_G11_2134711_G11_2110555_03","UKENAN_AW_TP000194",2134711,12,8,"G11","G",11,"2110555-03","12122021:0755","NEWMARKET STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,563383,267160,"Grab",0.393485142746634,52.2783067380365,-1,-1,-1,NA,-1,-1
"261","3_seqloc_G2_2134711_G2_2110556_03","UKENAN_AW_TP000107",2134711,12,8,"G2","G",2,"2110556-03","12122021:0915","NORTHAMPTON   STW",NA,"SAMPLE",13527.2,35.291,34.555,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,481616,261993,"Grab",-0.805898646385173,52.2500718609721,0.966245797353845,0.0127425003771283,12,0.000178500863939736,7.0044361428905e-05,10
"262","3_seqloc_G3_2134711_G3_2110538_02","UKENAN_AW_TP000041",2134711,12,8,"G3","G",3,"2110538-02","12122021:1055","BUCKINGHAM  STW",NA,"SAMPLE",15152,34.694,34.715,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,471702,234161,"Grab",-0.956948691803139,52.0012690394705,0.759311246869666,0.07695250662023,12,0.474513647062833,0.0442360904840106,10
"263","3_seqloc_G4_2134711_G4_2110607_03","UKENAN_AW_TP000286",2134711,12,8,"G4","G",4,"2110607-03","12122021:0842","DAVENTRY   STW",NA,"SAMPLE",32000,33.34,33.8,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,461877,264787,"Grab",-1.09448123425968,52.2777571571059,0.99974753270599,0.000670710189313092,12,0,0,10
"264","3_seqloc_G5_2134711_G5_2110568_03","UKENAN_AW_TP000037",2134711,12,8,"G5","G",5,"2110568-03","12122021:0942","WELLINGBOROUGH   STW",NA,"SAMPLE",13592,34.475,35.409,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,493847,268578,"Grab",-0.624959185856602,52.3073084255838,0.97123759629405,0.0201597926229735,12,0.0365522987808553,0.00833031302709788,10
"265","3_seqloc_G6_2134711_G6_2110554_03","UKENAN_AW_TP000177",2134711,12,8,"G6","G",6,"2110554-03","12122021:0805","MARKET HARBOROUGH STW",NA,"SAMPLE",3779.259796,36.40516114,37.46015696,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,475882,288865,"Grab",-0.88380189135832,52.4924282218497,1,0,10,0,0,7
"266","3_seqloc_G7_2134711_G7_2110544_08","UKENAN_AW_TP000139",2134711,12,8,"G7","G",7,"2110544-08","12122021:1020","HUNTINGDON STW",NA,"SAMPLE",8408.867416,34.95094662,36.79408219,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,526112,271009,"Grab",-0.151048048361686,52.3226984496403,1,0,10,0.000661627249804365,0.000672043010752688,6
"267","3_seqloc_G8_2134711_G8_2109701_24","UKENNW_UU_TP000012",2134711,12,8,"G8","G",8,"2109701-24","12122021:0001","BARROW-IN-FURNESS STW",NA,"SAMPLE",5425.6,35.687,37.282,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,321942,468543,"Composite",-3.19536888158,54.1068235248882,0.981204365437705,0.0283623174442494,12,0.000104775550777443,5.65632637638646e-05,10
"268","3_seqloc_G9_2134711_G9_2110562_03","UKENAN_AW_TP000242",2134711,12,8,"G9","G",9,"2110562-03","12122021:1050","SPALDING STW",NA,"SAMPLE",3894.420085,36.70867348,36.89244584,-2,"EA","2134711 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,526077,325171,"Grab",-0.130984503392195,52.8093570991606,-1,-1,-1,NA,-1,-1
"269","3_seqloc_H1_2134515_A1_2109725_19","UKENNE_YW_TP000082",2134515,12,8,"A1","A",1,"2109725-19","10122021:1350","BRADFORD ESHOLT STW",NA,"SAMPLE",2777.285309,36.55758154,1000,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,418979,438751,"Composite",-1.71302745148649,53.8446589096356,1,0,11,0.00026509978475044,9.65250965250965e-05,10
"270","3_seqloc_H10_2134515_A10_2110537_03","UKENAN_AW_TP000082",2134515,12,8,"A10","A",10,"2110537-03","10122021:0844","DOWNHAM MARKET STW",NA,"SAMPLE",6870.4,35.757,37.013,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,560459,304206,"Grab",0.368451485435568,52.6119285928126,0.985938210844121,0.0327252413265273,10,0.000147273899999219,0.000208768267223382,10
"271","3_seqloc_H2_2134515_A2_2109739_24","UKENNE_YW_TP000119",2134515,12,8,"A2","A",2,"2109739-24","10122021:0830","DONCASTER (SANDALL) STW",NA,"SAMPLE",19217.48779,34.15283834,35.88817447,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,460189,405981,"Composite",-1.09309807201054,53.5470247756405,0.96547060227544,0.0150324755587527,12,0.0595359734646463,0.0282092684122895,10
"272","3_seqloc_H3_2134515_A3_2109747_07","UKENNE_YW_TP000056",2134515,12,8,"A3","A",3,"2109747-07","10122021:0740","BEVERLEY STW",NA,"SAMPLE",11541.6,35.231,35.847,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,505199,439176,"Composite",-0.402783089986598,53.838193441849,0.999983394772674,0.00252525252525252,11,0.00011611744504475,5.70613409415121e-05,10
"273","3_seqloc_H4_2134515_A4_2109780_05","UKENNE_YW_TP000030",2134515,12,8,"A4","A",4,"2109780-05","10122021:1130","NORTHALLERTON AND ROMANBY STW",NA,"SAMPLE",3206.591644,36.35094215,1000,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,435472,492774,"Grab",-1.45605511919018,54.3293093723274,0.9847286758512,0.0130731172224304,11,0.000308680760210827,0.000204750204750205,10
"274","3_seqloc_H5_2134515_A5_2108513_50","UKENNE_YW_TP000095",2134515,12,8,"A5","A",5,"2108513-50","10122021:0710","HULL STW",NA,"SAMPLE",8632,35.641,36.276,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,516284,429068,"Composite",-0.238218768004057,53.7450263732422,0.985368598761958,0.0135598527342394,12,0.000178946677173628,0.000115740740740741,10
"275","3_seqloc_H6_2134515_A6_2109727_31","UKENNE_YW_TP000094",2134515,12,8,"A6","A",6,"2109727-31","10122021:1135","HUDDERSFIELD STW",NA,"SAMPLE",1026.4,37.989,-4,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,418099,420701,"Composite",-1.72745366002566,53.6824584356595,1,0,7,0,0,7
"276","3_seqloc_H7_2134515_A7_2110569_03","UKENAN_AW_TP000293",2134515,12,8,"A7","A",7,"2110569-03","10122021:1014","WISBECH WEST WALTON STW",NA,"SAMPLE",7214.4,35.919,36.504,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,545869,314163,"Grab",0.157540805762818,52.7054860781541,1,0,12,0.000526507653049453,0.000201005025125628,10
"277","3_seqloc_H8_2134515_A8_2110573_04","UKENAN_AW_TP000128",2134515,12,8,"A8","A",8,"2110573-04","10122021:1158","HEACHAM STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,566869,336315,"Grab",0.479357199842007,52.8983754732528,1,0,10,0.000157031836931407,0.000158227848101266,10
"278","3_seqloc_H9_2134515_A9_2110541_07","UKENAN_AW_TP000115",2134515,12,8,"A9","A",9,"2110541-07","10122021:1055","GREAT YARMOUTH (CAISTER) STW",NA,"SAMPLE",11084.85397,34.87879738,36.92113225,-2,"EA","2134515 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_3_2134711_2134515","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,651859,311135,"Grab",1.72111980821006,52.6394497603057,0.999949849548646,3.54473721582943e-05,12,0.000522336303143765,0.000245821042281219,10
"279","4_seqloc_A1_2134713_E1_2110653_18","UKENTH_TWU_TP000039",2134713,12,8,"E1","E",1,"2110653-18","12122021:0730","CHESHAM, BUCKS STW""",NA,"SAMPLE",46202.4,33.601,33.613,-2,"EA","2134713 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,498089,199521,"Grab",-0.582500625223595,51.6858900542333,0.63076389593694,0.0797964326042897,12,0.450943235871392,0.0673592780336979,10
"280","4_seqloc_A10_2134511_A10_2110603_02","UKENAN_AW_TP000067",2134511,12,8,"A10","A",10,"2110603-02","10122021:0755","CORBY STW",NA,"SAMPLE",61849.6,33.757,34.176,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,490525,289058,"Grab",-0.668138402901747,52.4919326592508,0.890553052128734,0.0259692829846631,12,0.0277877304656317,0.0170106504345657,10
"281","4_seqloc_A11_2134511_A11_2109754_01","UKENNW_UU_TP000011",2134511,12,8,"A11","A",11,"2109754-01","10122021:0800","BARNOLDSWICK STW",NA,"SAMPLE",916,39.33,-4,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,387849,448011,"Composite",-2.18653363164671,53.9280834015172,0.999961343693224,0.0833333333333334,12,0,0,8
"282","4_seqloc_A2_2134713_E2_2110700_07","UKENSO_SW_TP000096",2134713,12,8,"E2","E",2,"2110700-07","12122021:0745","HAILSHAM SOUTH STW",NA,"SAMPLE",17565.6,35.648,34.712,-2,"EA","2134713 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,559739,108341,"Grab",0.267968628114154,50.8525324875144,0.999975218387956,2.99904877249373e-05,12,0.00032732063720206,0.000133333333333333,10
"283","4_seqloc_A9_2134511_A9_2109792_35","UKENNE_NU_TP000046",2134511,12,8,"A9","A",9,"2109792-35","10122021:0630","HARTLEPOOL   STW",NA,"SAMPLE",4500,37.437,38.751,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,451989,527651,"Composite",-1.19597495386085,54.6413041634585,0.945169252468265,0.0862392927822759,12,0.000540664727170143,0.00020337002261059,10
"284","4_seqloc_B1_2134511_B1_2109805_28","UKENSW_SWS_TP000024",2134511,12,8,"B1","B",1,"2109805-28","10122021:1215","EXMOUTH STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134511 Surv,NR - Phi6 failure","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,302457,80397,"Composite",-3.38007413240154,50.6150999871493,-1,-1,-1,NA,-1,-1
"285","4_seqloc_B10_2134511_B10_2109660_07","UKENMI_ST_TP000256",2134511,12,8,"B10","B",10,"2109660-07","10122021:0845","CHELTENHAM STW",NA,"SAMPLE",975.2,-4,39.234,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,389929,224861,"Grab",-2.14784892920013,51.9221774933738,1,0,8,0.000520023874636711,0.000460210601061177,8
"286","4_seqloc_B11_2134511_B11_2110540_05","UKENAN_AW_TP000106",2134511,12,8,"B11","B",11,"2110540-05","10122021:0845","GRANTHAM   STW",NA,"SAMPLE",7025.6,36.718,38.165,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,490723,342661,"Grab",-0.650428731936804,52.9736355457293,0.999965280590693,7.60019950020107e-05,12,0.000198768198595618,7.96918581484925e-05,10
"287","4_seqloc_B2_2134511_B2_2109803_28","UKENSW_SWS_TP000074",2134511,12,8,"B2","B",2,"2109803-28","10122021:1020","TIVERTON STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,295499,110501,"Grab",-3.48693900673135,50.8845167752344,1,NA,1,NA,NA,0
"288","4_seqloc_B3_2134511_B3_2108717_28","UKENTH_TWU_TP000155",2134511,12,8,"B3","B",3,"2108717-28","10122021:1000","WOKING STW",NA,"SAMPLE",1983.2,38.975,39.485,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,503199,157401,"Grab",-0.520913037743907,51.3063818097732,0.999239800658839,0.00385346207815855,5,0.165753811146016,0.0632156862470372,6
"289","4_seqloc_B4_2134511_B4_2110558_02","UKENAN_AW_TP000222",2134511,12,8,"B4","B",4,"2110558-02","10122021:1000","ROYSTON STW",NA,"SAMPLE",5130.4,37.431,38.171,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,535529,242381,"Grab",-0.0244022845194582,52.0632330100289,0.987887740029542,0.0263695593682818,12,0.0790938294040253,0.0819406988307466,10
"290","4_seqloc_B5_2134511_B5_2109661_06","UKENMI_ST_TP000208",2134511,12,8,"B5","B",5,"2109661-06","10122021:0800","STROUD STW",NA,"SAMPLE",751.2,-4,39.633,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,378889,204891,"Grab",-2.30715370646755,51.7423193445709,1,NA,1,NA,NA,0
"291","4_seqloc_B6_2134511_B6_2109806_28","UKENSW_SWS_TP000064",2134511,12,8,"B6","B",6,"2109806-28","10122021:1120","SIDMOUTH STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,313655,90455,"Composite",-3.22418740047988,50.7072960215087,1,0,6,0.000940933915294014,0.00139275766016713,2
"292","4_seqloc_B7_2134511_B7_2110546_03","UKENAN_AW_TP000144",2134511,12,8,"B7","B",7,"2110546-03","10122021:0915","IPSWICH   STW",NA,"SAMPLE",3066.4,38.034,39.311,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,617466,241968,"Grab",1.16897476273943,52.0334554928904,0.999982063745449,0.000169721656483388,12,0.101694841863345,0.0399278343777773,10
"293","4_seqloc_B8_2134511_B8_2109632_25","UKENMI_ST_TP000156",2134511,12,8,"B8","B",8,"2109632-25","10122021:1400","BIRMINGHAM & BLACK COUNTRY NO. 1 (MINWORTH) STW",NA,"SAMPLE",5279.497757,38.07842044,37.41823546,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,416499,292356,"Grab",-1.75822804438867,52.5288278111125,1,0,11,0.000256759106852348,0.000220597888972695,10
"294","4_seqloc_B9_2134511_B9_2108684_32","UKENTH_TWU_TP000014",2134511,12,8,"B9","B",9,"2108684-32","10122021:0900","LONDON (Beckton STW)",NA,"SAMPLE",26305.6,34.947,35.65,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,545469,181671,"Composite",0.0950603104063248,51.5152392868554,0.636161034289512,0.069989230766359,12,0.285582822436104,0.0469148285002701,10
"295","4_seqloc_C1_2134511_C1_2109724_30","UKENNE_YW_TP000107",2134511,12,8,"C1","C",1,"2109724-30","10122021:1100","DEWSBURY AND BATLEY STW",NA,"SAMPLE",2516.8,39.003,38.703,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,426089,419971,"Grab",-1.6065471104996,53.6755611830968,1,0,3,NA,NA,0
"296","4_seqloc_C10_2134511_C10_2109742_10","UKENNE_YW_TP000096",2134511,12,8,"C10","C",10,"2109742-10","10122021:1225","KEIGHLEY MARLEY STW",NA,"SAMPLE",2981.6,39.269,38.115,-2,"EA","2134511 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_4_2134511_2134713","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,408519,441231,"Grab",-1.87193699539835,53.8672233012049,0.99991871429235,7.77599022089373e-05,12,0.000530521778094145,0.000288233299423533,10
